id,type
001,2
002,1
003,2
004,0
005,2
006,2
007,2
008,0
009,2
010,2
011,2
012,2
013,2
014,2
015,2
016,2
017,2
018,2
019,2
020,2
021,2
022,2
023,3
024,1
025,2
026,0
027,2
028,2
029,2
030,2
031,3
032,1
033,2
034,2
035,3
036,2
037,2
038,0
039,2
040,2
041,2
042,2
043,2
044,2
045,2
046,2
047,2
048,2
049,2
050,2
051,1
052,1
053,1
054,1
055,1
056,1
057,1
058,1
059,3
060,1
061,1
062,3
063,1
064,1
065,1
066,1
067,1
068,1
069,1
070,0
071,1
072,1
073,1
074,1
075,1
076,1
077,1
078,1
079,1
080,1
081,1
082,1
083,1
084,1
085,3
086,1
087,3
088,1
089,1
090,1
091,1
092,3
093,3
094,1
095,3
096,3
097,1
098,1
099,1
100,1
101,1
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,2
113,0
114,0
115,1
116,0
117,0
118,0
119,0
120,1
121,1
122,0
123,1
124,0
125,0
126,0
127,0
128,0
129,0
130,1
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,3
164,3
165,3
166,3
167,3
168,3
169,3
170,3
171,3
172,3
173,3
174,3
175,0
176,3
177,3
178,3
179,3
180,3
181,3
182,3
183,3
184,3
185,3
186,3
187,1
188,3
189,3
190,3
191,2
192,2
193,3
194,3
195,3
196,3
197,3
198,3
199,3
200,1
